Time;Bezirk;GKZ;AnzEinwohner;AnzahlFaelle;AnzahlFaelleSum;AnzahlFaelle7Tage;SiebenTageInzidenzFaelle;AnzahlTotTaeglich;AnzahlTotSum;AnzahlGeheiltTaeglich;AnzahlGeheiltSum
28.02.2020 00:00:00;Wiener Neustadt(Land);323;79033;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Zwettl;325;41827;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Linz(Stadt);401;206537;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Steyr(Stadt);402;37952;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Wels(Stadt);403;62654;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Braunau am Inn;404;106492;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Eferding;405;33368;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Freistadt;406;66922;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Gmunden;407;102102;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Grieskirchen;408;65137;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Kirchdorf an der Krems;409;57163;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Linz-Land;410;152391;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Perg;411;69241;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Ried im Innkreis;412;61850;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Rohrbach;413;56623;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Schärding;414;57438;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Steyr-Land;415;60936;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Urfahr-Umgebung;416;86235;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Vöcklabruck;417;137993;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Wels-Land;418;74574;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Salzburg(Stadt);501;155416;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Hallein;502;60992;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Salzburg-Umgebung;503;154624;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Sankt Johann im Pongau;504;81392;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Tamsweg;505;20118;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Zell am See;506;88168;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Graz(Stadt);601;291134;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Deutschlandsberg;603;60871;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Graz-Umgebung;606;157853;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Leibnitz;610;85294;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Leoben;611;59151;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Liezen;612;79592;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Murau;614;27449;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Voitsberg;616;50947;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Weiz;617;90916;1;1;1;1,099916;0;0;0;0
28.02.2020 00:00:00;Murtal;620;71356;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Bruck-Mürzzuschlag;621;98054;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Hartberg-Fürstenfeld;622;90619;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Südoststeiermark;623;83841;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Innsbruck-Stadt;701;131059;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Imst;702;60922;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Innsbruck-Land;703;181698;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Kitzbühel;704;64676;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Kufstein;705;111080;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Landeck;706;44346;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Lienz;707;48814;0;0;0;0;0;0;0;0
