ObjectId,AdmUnitId,BundeslandId,AnzFall,AnzTodesfall,AnzFallNeu,AnzTodesfallNeu,AnzFall7T,AnzGenesen,AnzGenesenNeu,AnzAktiv,AnzAktivNeu,Inz7T
174,6,6,272962,7055,1113,10,7621,243100,900,22800,200,121.2
175,9574,9,6940,172,0,0,141,6500,0,300,0,82.6
176,3357,3,3747,86,0,0,81,3400,0,200,0,49.5
177,9185,9,3960,74,9,0,94,3700,0,200,0,96.6
178,7,7,145284,3613,351,0,3960,129700,600,11900,-300,96.7
179,9575,9,4186,102,11,0,108,3800,0,300,0,106.9
180,3358,3,3260,99,22,0,96,3000,0,200,0,68.2
181,9186,9,5451,157,17,0,140,5000,0,300,0,109.2
182,8,8,465900,9526,2107,11,16141,413900,2000,42500,100,145.4
183,9576,9,5506,166,23,0,137,5100,0,300,0,108.1
184,3359,3,4812,116,34,0,173,4300,0,400,0,84.6
185,9187,9,13324,450,29,0,266,12400,0,400,0,101.8
186,9,9,614106,14411,2011,20,15584,556100,2200,43600,-200,118.7
187,9577,9,3718,114,14,0,95,3400,0,200,0,100.3
188,3360,3,2135,111,7,0,50,1900,0,100,0,54.1
189,9188,9,4924,111,13,0,80,4700,0,100,0,58.5
190,10,10,38744,967,182,0,1078,35400,100,2400,100,109.2
191,9661,9,3172,106,9,0,74,2900,0,200,0,104.2
192,3361,3,3760,54,21,0,126,3500,0,200,0,91.9
193,9189,9,10604,210,21,0,238,9000,100,1400,0,134.2
194,11,11,172647,3301,316,36,3654,161000,300,8300,0,99.6
195,9662,9,2801,77,14,0,130,2400,0,300,0,243.3
196,3401,3,3309,65,23,0,138,3000,0,300,0,177.9
197,9190,9,4737,74,25,0,132,4300,0,300,0,97.4
198,12,12,104930,3630,257,4,2248,95300,400,6000,-100,89.1
199,9663,9,4233,112,8,0,113,3500,0,700,0,88.3
200,3402,3,1057,7,3,0,64,1000,0,100,0,128.2
201,9261,9,3851,107,14,0,151,3500,0,200,0,205.7
202,13,13,41961,1043,148,2,1418,37800,200,3100,0,88.2
203,9671,9,7737,200,26,3,172,7200,0,300,0,98.7
204,3403,3,4037,44,20,0,117,3800,0,200,0,69.2
205,9262,9,3324,112,4,0,14,3200,0,0,0,26.5
206,14,14,272458,9269,851,5,7037,237700,900,25500,0,172.8
207,9672,9,3440,97,23,1,111,3000,0,400,0,107.5
208,9673,9,3355,85,33,0,115,3100,0,200,0,144.4
209,9674,9,3886,86,6,0,95,3600,0,200,0,112.6
210,9675,9,3021,83,5,0,62,2800,0,100,0,68
211,9676,9,5611,122,19,0,157,5200,0,300,0,121.9
212,9677,9,4502,208,8,1,88,4100,0,200,0,69.8
213,9678,9,4818,124,24,0,237,4300,0,400,0,205.3
214,9679,9,4219,69,8,0,107,3600,0,500,0,65.9
215,9761,9,16909,385,76,0,526,15400,100,1100,0,177.4
216,9762,9,2237,51,11,0,65,2100,0,100,0,146.4
217,9763,9,2774,43,20,0,117,2400,0,300,0,169.2
